sum_Episode,Episode, Score, Avg.Score,eps-greedy,success,failed,meet_threaten,loss,step,Q-value,energy_cost,task_collect,Energy_Efficent,UE_waiting_time,Covered_rate
270.0,24869,-11.01592145379572,-11.01592145379572,0.0,0.0,0.0,0.0,0.0,100.0,0,11.748244491290315,0.0,0.0,0.0,0.0
272.0,25061,-7.488944996194384,-7.488944996194384,0.0,0.0,0.0,0.0,0.0,100.0,0,9.21328894581159,0.0,0.0,0.0,0.0
274.0,25261,-9.360779180214017,-9.360779180214017,0.0,0.0,0.0,0.0,0.0,100.0,0,10.847433306681245,0.0,0.0,0.0,0.0
276.0,25453,-0.062098992913199424,-0.062098992913199424,0.0,0.0,0.0,0.0,0.0,100.0,0,8.490050570560468,0.0,0.0,0.0,0.0
278.0,25653,-15.555160708230993,-15.555160708230993,0.0,0.0,0.0,0.0,0.0,100.0,0,11.20504518962406,0.0,0.0,0.0,0.0
280.0,25853,16.46819210700708,16.46819210700708,0.0,0.0,0.0,0.0,0.0,100.0,0,3.2764690227884583,0.0,0.0,0.0,0.0
282.0,25969,60.01700028201013,60.01700028201013,0.0,0.0,0.0,0.0,0.0,41.0,0,2.8946863163798193,0.0,0.0,0.0,0.0
284.0,26169,12.194120653691542,12.194120653691542,0.0,0.0,0.0,0.0,0.0,100.0,0,4.750617064545334,0.0,0.0,0.0,0.0
286.0,26342,36.39855467509075,36.39855467509075,0.0,0.0,0.0,0.0,0.0,79.0,0,2.4260657681758304,0.0,0.0,0.0,0.0
288.0,26494,52.03698409689714,52.03698409689714,0.0,0.0,0.0,0.0,0.0,52.0,0,2.9167137057220915,0.0,0.0,0.0,0.0
290.0,26694,-22.852357039036278,-22.852357039036278,0.0,0.0,0.0,0.0,0.0,100.0,0,14.529039808930314,0.0,0.0,0.0,0.0
292.0,26891,6.6765510536001855,6.6765510536001855,0.0,0.0,0.0,0.0,0.0,100.0,0,5.489200015544341,0.0,0.0,0.0,0.0
294.0,27091,-17.07081562176085,-17.07081562176085,0.0,0.0,0.0,0.0,0.0,100.0,0,14.067499750084016,0.0,0.0,0.0,0.0
296.0,27225,65.33955047463056,65.33955047463056,0.0,0.0,0.0,0.0,0.0,34.0,0,2.7059688766108363,0.0,0.0,0.0,0.0
298.0,27342,46.75891740646513,46.75891740646513,0.0,0.0,0.0,0.0,0.0,61.0,0,2.997665708302678,0.0,0.0,0.0,0.0
300.0,27542,19.179484097977287,19.179484097977287,0.0,0.0,0.0,0.0,0.0,100.0,0,2.7890339479632704,0.0,0.0,0.0,0.0
